"","modelGrid","subGrid","year","totalCells","treeCells","maskedCells"
"1","X12-115","594",2016,10407076,561850,156960
"2","X12-131","456",2016,10407076,73319,0
"3","X12-131","2572",2016,10413529,662665,7125
"4","X12-150","12659",2016,10407076,1818388,NA
"5","X12-150","6603",2016,10410302,681007,237912
"6","X12-183","11710",2016,10407076,318603,111146
"7","X12-183","12000",2016,10413529,58785,4334
"8","X12-278","18037",2016,10413529,8533,406
"9","X12-278","12004",2016,10410302,703035,362541
"10","X12-300","5822",2016,10413529,470275,0
"11","X12-300","13638",2016,10413529,13187,0
"12","X12-307","6165",2016,10410302,1037038,6411
"13","X12-318","8345",2016,10407076,580476,0
"14","X12-318","12877",2016,10413529,788713,140154
"15","X12-356","12781",2016,10413529,61607,0
"16","X12-356","16121",2016,10410302,68129,10608
"17","X12-361","11319",2016,10410302,233506,32184
"18","X12-361","19763",2016,10413529,255202,31907
"19","X12-388","22986",2016,10410302,75965,0
"20","X12-388","10880",2016,10413529,546,0
"21","X12-519","24110",2016,10413529,182817,29152
"22","X12-519","28032",2016,10413529,3520302,2017287
"23","X12-594","17395",2016,NA,NA,NA
"24","X12-594","24628",2016,10410302,341671,7319
"25","X12-602","20451",2016,10407076,609173,55504
"26","X12-602","16513",2016,10410302,451568,9583
"27","X12-624","30590",2016,10407076,116789,0
"28","X12-624","26650",2016,10413529,106487,53098
"29","X12-642","27975",2016,10410302,1198198,725291
"30","X12-642","23457",2016,10410302,103725,16775
"31","X12-661","30823",2016,10410302,6586,0
"32","X12-677","24297",2016,10413529,216143,0
"33","X12-677","25518",2016,10410302,130340,24625
"34","X12-709","30850",2016,10413529,2379264,904769
"35","X12-83","2828",2016,10410302,97927,0
"36","X12-91","1328",2016,10410302,230590,0
"37","X12-99","4121",2016,10413529,256008,58088
"38","X12-99","7729",2016,10413529,628297,70688
