"","modelGrid","subGrid","year","totalCells","treeCells","maskedCells"
"1","X12-115","1200",2010,10410302,1523469,897500
"2","X12-115","1200",2010,10410302,1523469,897500
"3","X12-131","2572",2010,10413529,495623,6180
"4","X12-150","12963",2010,10413529,2880258,NA
"5","X12-183","12000",2010,10413529,84059,3702
"6","X12-183","12000",2010,10413529,84059,3702
"7","X12-207","4330",2010,10410302,66637,0
"8","X12-278","19547",2010,10410302,101178,9335
"9","X12-281","14758",2010,10413529,1402794,113290
"10","X12-300","13638",2010,10413529,13187,0
"11","X12-300","13659",2010,10413529,344950,39770
"12","X12-307","11577",2010,10410302,160660,0
"13","X12-307","11577",2010,10410302,160660,0
"14","X12-318","12877",2010,10413529,1218534,220848
"15","X12-318","12877",2010,10413529,1218534,220848
"16","X12-32","1473",2010,10410302,1518892,984253
"17","X12-356","22744",2010,10413529,2189,0
"18","X12-361","19763",2010,10413529,518847,31737
"19","X12-388","10880",2010,10413529,13136,0
"20","X12-388","10880",2010,10413529,13136,0
"21","X12-440","23005",2010,10407076,34561,0
"22","X12-519","28032",2010,10413529,3938445,2202852
"23","X12-594","27935",2010,NA,NA,NA
"24","X12-602","16513",2010,10410302,596509,67932
"25","X12-602","16513",2010,10410302,596509,67932
"26","X12-615","27785",2010,10045651,NA,NA
"27","X12-624","29389",2010,10413529,484319,268149
"28","X12-642","23457",2010,10410302,307774,18640
"29","X12-677","25518",2010,10410302,70492,20011
"30","X12-83","402",2010,NA,NA,NA
"31","X12-91","2233",2010,10407076,754303,541816
"32","X12-99","7729",2010,10413529,676482,45756
