"","gridID","presence","year","predictedValue"
"1","X12-115",1,"2020",1
"2","X12-115",1,"2020",1
"3","X12-115",1,"2020",1
"4","X12-115",1,"2020",1
"5","X12-115",1,"2020",1
"6","X12-115",1,"2020",1
"7","X12-115",1,"2020",1
"8","X12-115",1,"2020",1
"9","X12-115",1,"2020",1
"10","X12-115",1,"2020",0
"11","X12-115",1,"2020",0
"12","X12-115",1,"2020",1
"13","X12-115",1,"2020",1
"14","X12-115",1,"2020",1
"15","X12-115",1,"2020",1
"16","X12-115",1,"2020",1
"17","X12-115",1,"2020",1
"18","X12-115",1,"2020",1
"19","X12-115",1,"2020",1
"20","X12-115",1,"2020",1
"21","X12-115",1,"2020",1
"22","X12-115",1,"2020",1
"23","X12-115",1,"2020",1
"24","X12-115",1,"2020",1
"25","X12-115",1,"2020",1
"26","X12-115",1,"2020",1
"27","X12-115",1,"2020",1
"28","X12-115",1,"2020",1
"29","X12-115",1,"2020",1
"30","X12-115",1,"2020",1
"31","X12-115",1,"2020",1
"32","X12-115",1,"2020",1
"33","X12-115",1,"2020",1
"34","X12-115",1,"2020",1
"35","X12-115",1,"2020",1
"36","X12-115",1,"2020",1
"37","X12-115",1,"2020",1
"38","X12-115",1,"2020",1
"39","X12-115",1,"2020",1
"40","X12-115",1,"2020",1
"41","X12-115",1,"2020",1
"42","X12-115",1,"2020",1
"43","X12-115",1,"2020",1
"44","X12-115",1,"2020",1
"45","X12-115",1,"2020",1
"46","X12-115",1,"2020",1
"47","X12-115",1,"2020",1
"48","X12-115",1,"2020",1
"49","X12-115",1,"2020",0
"50","X12-115",1,"2020",1
"51","X12-115",0,"2020",0
"52","X12-115",0,"2020",0
"53","X12-115",0,"2020",0
"54","X12-115",0,"2020",0
"55","X12-115",0,"2020",0
"56","X12-115",0,"2020",0
"57","X12-115",0,"2020",0
"58","X12-115",0,"2020",0
"59","X12-115",0,"2020",0
"60","X12-115",0,"2020",0
"61","X12-115",0,"2020",0
"62","X12-115",0,"2020",0
"63","X12-115",0,"2020",0
"64","X12-115",0,"2020",0
"65","X12-115",0,"2020",0
"66","X12-115",0,"2020",0
"67","X12-115",0,"2020",0
"68","X12-115",0,"2020",0
"69","X12-115",0,"2020",0
"70","X12-115",0,"2020",0
"71","X12-115",0,"2020",0
"72","X12-115",0,"2020",0
"73","X12-115",0,"2020",0
"74","X12-115",0,"2020",0
"75","X12-115",0,"2020",0
"76","X12-115",0,"2020",0
"77","X12-115",0,"2020",0
"78","X12-115",0,"2020",0
"79","X12-115",0,"2020",0
"80","X12-115",0,"2020",0
"81","X12-115",0,"2020",0
"82","X12-115",0,"2020",0
"83","X12-115",0,"2020",0
"84","X12-115",0,"2020",0
"85","X12-115",0,"2020",0
"86","X12-131",1,"2020",1
"87","X12-131",1,"2020",1
"88","X12-131",1,"2020",1
"89","X12-131",1,"2020",1
"90","X12-131",1,"2020",0
"91","X12-131",1,"2020",1
"92","X12-131",1,"2020",1
"93","X12-131",1,"2020",1
"94","X12-131",1,"2020",1
"95","X12-131",1,"2020",1
"96","X12-131",1,"2020",1
"97","X12-131",1,"2020",1
"98","X12-131",1,"2020",1
"99","X12-131",1,"2020",1
"100","X12-131",1,"2020",1
"101","X12-131",1,"2020",1
"102","X12-131",1,"2020",1
"103","X12-131",1,"2020",1
"104","X12-131",1,"2020",1
"105","X12-131",1,"2020",1
"106","X12-131",1,"2020",1
"107","X12-131",1,"2020",1
"108","X12-131",1,"2020",1
"109","X12-131",1,"2020",1
"110","X12-131",1,"2020",1
"111","X12-131",0,"2020",0
"112","X12-131",0,"2020",0
"113","X12-131",0,"2020",0
"114","X12-131",0,"2020",0
"115","X12-131",0,"2020",0
"116","X12-131",0,"2020",0
"117","X12-131",0,"2020",0
"118","X12-131",0,"2020",0
"119","X12-131",0,"2020",0
"120","X12-131",0,"2020",0
"121","X12-131",0,"2020",0
"122","X12-131",0,"2020",0
"123","X12-131",0,"2020",0
"124","X12-131",0,"2020",0
"125","X12-131",0,"2020",0
"126","X12-131",0,"2020",0
"127","X12-131",0,"2020",0
"128","X12-131",0,"2020",0
"129","X12-131",0,"2020",0
"130","X12-131",0,"2020",0
"131","X12-150",1,"2020",1
"132","X12-150",1,"2020",1
"133","X12-150",1,"2020",0
"134","X12-150",1,"2020",1
"135","X12-150",1,"2020",1
"136","X12-150",1,"2020",1
"137","X12-150",1,"2020",1
"138","X12-150",1,"2020",1
"139","X12-150",1,"2020",1
"140","X12-150",1,"2020",0
"141","X12-150",1,"2020",1
"142","X12-150",1,"2020",1
"143","X12-150",1,"2020",1
"144","X12-150",1,"2020",1
"145","X12-150",1,"2020",1
"146","X12-150",1,"2020",1
"147","X12-150",1,"2020",1
"148","X12-150",1,"2020",1
"149","X12-150",1,"2020",1
"150","X12-150",1,"2020",1
"151","X12-150",1,"2020",1
"152","X12-150",1,"2020",1
"153","X12-150",1,"2020",1
"154","X12-150",1,"2020",1
"155","X12-150",1,"2020",1
"156","X12-150",1,"2020",1
"157","X12-150",1,"2020",1
"158","X12-150",1,"2020",1
"159","X12-150",1,"2020",1
"160","X12-150",1,"2020",1
"161","X12-150",1,"2020",1
"162","X12-150",1,"2020",1
"163","X12-150",1,"2020",1
"164","X12-150",1,"2020",1
"165","X12-150",1,"2020",1
"166","X12-150",1,"2020",1
"167","X12-150",1,"2020",1
"168","X12-150",1,"2020",1
"169","X12-150",1,"2020",1
"170","X12-150",1,"2020",1
"171","X12-150",1,"2020",1
"172","X12-150",1,"2020",1
"173","X12-150",1,"2020",1
"174","X12-150",1,"2020",1
"175","X12-150",1,"2020",1
"176","X12-150",1,"2020",1
"177","X12-150",1,"2020",1
"178","X12-150",1,"2020",0
"179","X12-150",1,"2020",1
"180","X12-150",1,"2020",1
"181","X12-150",1,"2020",1
"182","X12-150",1,"2020",1
"183","X12-150",1,"2020",1
"184","X12-150",1,"2020",1
"185","X12-150",1,"2020",1
"186","X12-150",1,"2020",1
"187","X12-150",1,"2020",1
"188","X12-150",1,"2020",1
"189","X12-150",1,"2020",1
"190","X12-150",1,"2020",1
"191","X12-150",1,"2020",0
"192","X12-150",1,"2020",1
"193","X12-150",1,"2020",1
"194","X12-150",1,"2020",1
"195","X12-150",1,"2020",1
"196","X12-150",1,"2020",1
"197","X12-150",1,"2020",0
"198","X12-150",1,"2020",1
"199","X12-150",1,"2020",1
"200","X12-150",1,"2020",1
"201","X12-150",0,"2020",0
"202","X12-150",0,"2020",0
"203","X12-150",0,"2020",0
"204","X12-150",0,"2020",0
"205","X12-150",0,"2020",0
"206","X12-150",0,"2020",0
"207","X12-150",0,"2020",0
"208","X12-150",0,"2020",0
"209","X12-150",0,"2020",0
"210","X12-150",0,"2020",0
"211","X12-150",0,"2020",0
"212","X12-150",0,"2020",1
"213","X12-150",0,"2020",1
"214","X12-150",0,"2020",0
"215","X12-150",0,"2020",0
"216","X12-150",0,"2020",0
"217","X12-150",0,"2020",0
"218","X12-150",0,"2020",0
"219","X12-150",0,"2020",0
"220","X12-150",0,"2020",0
"221","X12-150",0,"2020",0
"222","X12-150",0,"2020",0
"223","X12-150",0,"2020",0
"224","X12-150",0,"2020",0
"225","X12-150",0,"2020",0
"226","X12-150",0,"2020",0
"227","X12-150",0,"2020",0
"228","X12-150",0,"2020",0
"229","X12-150",0,"2020",0
"230","X12-150",0,"2020",0
"231","X12-150",0,"2020",0
"232","X12-150",0,"2020",0
"233","X12-150",0,"2020",0
"234","X12-150",0,"2020",0
"235","X12-150",0,"2020",0
"236","X12-150",0,"2020",0
"237","X12-150",0,"2020",0
"238","X12-150",0,"2020",0
"239","X12-150",0,"2020",0
"240","X12-150",0,"2020",0
"241","X12-150",0,"2020",0
"242","X12-150",0,"2020",0
"243","X12-150",0,"2020",0
"244","X12-150",0,"2020",0
"245","X12-150",0,"2020",0
"246","X12-150",0,"2020",0
"247","X12-150",0,"2020",0
"248","X12-150",0,"2020",0
"249","X12-150",0,"2020",0
"250","X12-150",0,"2020",0
"251","X12-150",0,"2020",0
"252","X12-150",0,"2020",0
"253","X12-150",0,"2020",1
"254","X12-150",0,"2020",0
"255","X12-150",0,"2020",0
"256","X12-150",0,"2020",0
"257","X12-150",0,"2020",0
"258","X12-150",0,"2020",0
"259","X12-150",0,"2020",0
"260","X12-150",0,"2020",0
"261","X12-150",0,"2020",0
"262","X12-150",0,"2020",0
"263","X12-150",0,"2020",0
"264","X12-150",0,"2020",0
"265","X12-150",0,"2020",0
"266","X12-150",0,"2020",0
"267","X12-150",0,"2020",0
"268","X12-150",0,"2020",1
"269","X12-150",0,"2020",0
"270","X12-150",0,"2020",0
"271","X12-150",0,"2020",0
"272","X12-150",0,"2020",0
"273","X12-150",0,"2020",0
"274","X12-150",0,"2020",0
"275","X12-150",0,"2020",0
"276","X12-150",0,"2020",0
"277","X12-150",0,"2020",0
"278","X12-150",0,"2020",0
"279","X12-150",0,"2020",0
"280","X12-150",0,"2020",0
"281","X12-150",0,"2020",0
"282","X12-150",0,"2020",0
"283","X12-150",0,"2020",0
"284","X12-183",1,"2020",1
"285","X12-183",1,"2020",0
"286","X12-183",1,"2020",1
"287","X12-183",1,"2020",1
"288","X12-183",1,"2020",0
"289","X12-183",1,"2020",0
"290","X12-183",1,"2020",0
"291","X12-183",1,"2020",0
"292","X12-183",1,"2020",0
"293","X12-183",1,"2020",1
"294","X12-183",1,"2020",1
"295","X12-183",1,"2020",0
"296","X12-183",1,"2020",0
"297","X12-183",1,"2020",1
"298","X12-183",1,"2020",0
"299","X12-183",1,"2020",1
"300","X12-183",1,"2020",1
"301","X12-183",1,"2020",1
"302","X12-183",1,"2020",1
"303","X12-183",1,"2020",1
"304","X12-183",1,"2020",1
"305","X12-183",1,"2020",1
"306","X12-183",1,"2020",1
"307","X12-183",1,"2020",1
"308","X12-183",1,"2020",0
"309","X12-183",1,"2020",0
"310","X12-183",1,"2020",1
"311","X12-183",1,"2020",1
"312","X12-183",1,"2020",1
"313","X12-183",1,"2020",1
"314","X12-183",1,"2020",1
"315","X12-183",1,"2020",1
"316","X12-183",1,"2020",1
"317","X12-183",1,"2020",1
"318","X12-183",1,"2020",1
"319","X12-183",1,"2020",1
"320","X12-183",1,"2020",1
"321","X12-183",1,"2020",1
"322","X12-183",1,"2020",1
"323","X12-183",1,"2020",1
"324","X12-183",1,"2020",1
"325","X12-183",1,"2020",1
"326","X12-183",1,"2020",1
"327","X12-183",1,"2020",1
"328","X12-183",1,"2020",1
"329","X12-183",1,"2020",1
"330","X12-183",1,"2020",1
"331","X12-183",1,"2020",1
"332","X12-183",1,"2020",1
"333","X12-183",1,"2020",1
"334","X12-183",1,"2020",1
"335","X12-183",1,"2020",1
"336","X12-183",1,"2020",1
"337","X12-183",1,"2020",1
"338","X12-183",1,"2020",1
"339","X12-183",1,"2020",1
"340","X12-183",1,"2020",1
"341","X12-183",1,"2020",1
"342","X12-183",0,"2020",0
"343","X12-183",0,"2020",0
"344","X12-183",0,"2020",0
"345","X12-183",0,"2020",0
"346","X12-183",0,"2020",0
"347","X12-183",0,"2020",0
"348","X12-183",0,"2020",0
"349","X12-183",0,"2020",0
"350","X12-183",0,"2020",0
"351","X12-183",0,"2020",0
"352","X12-183",0,"2020",0
"353","X12-183",0,"2020",0
"354","X12-183",0,"2020",0
"355","X12-183",0,"2020",0
"356","X12-183",0,"2020",0
"357","X12-183",0,"2020",0
"358","X12-183",0,"2020",0
"359","X12-183",0,"2020",0
"360","X12-183",0,"2020",0
"361","X12-183",0,"2020",0
"362","X12-183",0,"2020",0
"363","X12-183",0,"2020",0
"364","X12-183",0,"2020",0
"365","X12-183",0,"2020",0
"366","X12-183",0,"2020",0
"367","X12-183",0,"2020",0
"368","X12-183",0,"2020",1
"369","X12-183",0,"2020",0
"370","X12-183",0,"2020",1
"371","X12-183",0,"2020",0
"372","X12-183",0,"2020",0
"373","X12-183",0,"2020",0
"374","X12-183",0,"2020",0
"375","X12-183",0,"2020",0
"376","X12-183",0,"2020",0
"377","X12-183",0,"2020",0
"378","X12-183",0,"2020",0
"379","X12-183",0,"2020",0
"380","X12-183",0,"2020",0
"381","X12-183",0,"2020",0
"382","X12-183",0,"2020",0
"383","X12-183",0,"2020",0
"384","X12-183",0,"2020",0
"385","X12-183",0,"2020",0
"386","X12-183",0,"2020",0
"387","X12-183",0,"2020",0
"388","X12-183",0,"2020",0
"389","X12-183",0,"2020",0
"390","X12-183",0,"2020",0
"391","X12-183",0,"2020",0
"392","X12-183",0,"2020",0
"393","X12-183",0,"2020",0
"394","X12-183",0,"2020",0
"395","X12-183",0,"2020",0
"396","X12-183",0,"2020",0
"397","X12-183",0,"2020",0
"398","X12-183",0,"2020",0
"399","X12-207",1,"2020",1
"400","X12-207",1,"2020",1
"401","X12-207",1,"2020",1
"402","X12-207",1,"2020",1
"403","X12-207",1,"2020",1
"404","X12-207",1,"2020",1
"405","X12-207",1,"2020",1
"406","X12-207",1,"2020",1
"407","X12-207",1,"2020",1
"408","X12-207",1,"2020",1
"409","X12-207",1,"2020",1
"410","X12-207",1,"2020",1
"411","X12-207",1,"2020",1
"412","X12-207",1,"2020",1
"413","X12-207",1,"2020",1
"414","X12-207",1,"2020",0
"415","X12-207",1,"2020",1
"416","X12-207",1,"2020",1
"417","X12-207",1,"2020",1
"418","X12-207",1,"2020",1
"419","X12-207",1,"2020",1
"420","X12-207",1,"2020",1
"421","X12-207",1,"2020",1
"422","X12-207",1,"2020",1
"423","X12-207",1,"2020",1
"424","X12-207",1,"2020",1
"425","X12-207",1,"2020",1
"426","X12-207",1,"2020",1
"427","X12-207",1,"2020",1
"428","X12-207",1,"2020",1
"429","X12-207",1,"2020",1
"430","X12-207",1,"2020",1
"431","X12-207",1,"2020",1
"432","X12-207",1,"2020",1
"433","X12-207",1,"2020",1
"434","X12-207",1,"2020",1
"435","X12-207",1,"2020",1
"436","X12-207",1,"2020",1
"437","X12-207",1,"2020",1
"438","X12-207",1,"2020",1
"439","X12-207",1,"2020",0
"440","X12-207",1,"2020",0
"441","X12-207",1,"2020",0
"442","X12-207",1,"2020",1
"443","X12-207",1,"2020",1
"444","X12-207",1,"2020",1
"445","X12-207",1,"2020",1
"446","X12-207",1,"2020",1
"447","X12-207",1,"2020",1
"448","X12-207",1,"2020",0
"449","X12-207",1,"2020",1
"450","X12-207",1,"2020",1
"451","X12-207",1,"2020",1
"452","X12-207",1,"2020",1
"453","X12-207",1,"2020",1
"454","X12-207",1,"2020",1
"455","X12-207",1,"2020",1
"456","X12-207",1,"2020",1
"457","X12-207",1,"2020",1
"458","X12-207",1,"2020",1
"459","X12-207",1,"2020",1
"460","X12-207",1,"2020",1
"461","X12-207",1,"2020",1
"462","X12-207",1,"2020",1
"463","X12-207",1,"2020",1
"464","X12-207",1,"2020",1
"465","X12-207",0,"2020",0
"466","X12-207",0,"2020",0
"467","X12-207",0,"2020",0
"468","X12-207",0,"2020",0
"469","X12-207",0,"2020",0
"470","X12-207",0,"2020",0
"471","X12-207",0,"2020",0
"472","X12-207",0,"2020",0
"473","X12-207",0,"2020",0
"474","X12-207",0,"2020",0
